"Sentence"	"Author"
"By and by I got the old split-bottom chair and clumb up as easy as I could, not to make any noise, and got down the gun."	"twain"
"I know; but you don't want it but fifteen minutes, to carry the nonnamous letter and shove it under the front door."	"twain"
"All rightI'm glad we found it out detective fashion; I wouldn't give shucks for any other way."	"twain"
"And such another powwow as they made!"	"twain"
"Here a captive heart busted."	"twain"
"Look upon it and live!"	"twain"
"The match went out, and so did we, and shoved in the staple again, and the door was locked as good as ever."	"twain"
"I am one of the gang, but have got religgion and wish to quit it and lead an honest life again, and will betray the helish design."	"twain"
"So I judged they had our gang in a pretty tight place right at the outstart."	"twain"
"It was the king and the duke."	"twain"
"What did you reckon I wanted you to go at all for, Miss Mary?"	"twain"
"Jim hitched it behind with the hooks, and it was a fair fit."	"twain"
"They talked it over, and they was going to rule me out, because they said every boy must have a family or somebody to kill, or else it wouldn't be fair and square for the others."	"twain"
"He'll never know how nigh he come to getting lynched."	"twain"
"We paddled out and got aboardclumb in at an upstairs window."	"twain"
"We played robber now and then about a month, and then I resigned."	"twain"
"Run along and smouch the knivesthree of them."	"twain"
"Well, then, I says, joking or no joking, if you hear anything said about a runaway nigger, don't forget to remember that you don't know nothing about him, and I don't know nothing about him."	"twain"
"I couldn't make anything out of that, so I put the paper in the book again, and when I got home and upstairs there was Miss Sophia in her door waiting for me."	"twain"
"I said I wouldn't, and I'll stick to it."	"twain"
"The duke had to learn him over and over again how to say every speech; and he made him sigh, and put his hand on his heart, and after a while he said he done it pretty well; only, he says, you mustn't bellow out Romeo!"	"twain"
"So I went and got the bag of meal and my old saw out of the canoe, and fetched them to the house."	"twain"
"AS soon as we reckoned everybody was asleep that night we went down the lightning-rod, and shut ourselves up in the lean-to, and got out our pile of fox-fire, and went to work."	"twain"
"Do you reckon Tom Sawyer would ever go by this thing?"	"twain"
"You's gwyne to marry de po' one fust en de rich one by en by."	"twain"
"Some authorities think different, but mostly it's considered best to kill themexcept some that you bring to the cave here, and keep them till they're ransomed."	"twain"
"Think o' what, Brer Phelps, s'I?"	"twain"
"Jim says: Why, Mars Tom, I hain't got no coat o' arm; I hain't got nuffn but dish yer ole shirt, en you knows I got to keep de journal on dat."	"twain"
"I was a-trembling, because I'd got to decide, forever, betwixt two things, and I knowed it."	"twain"
"Here's what the law does:  The law takes a man worth six thousand dollars and up'ards, and jams him into an old trap of a cabin like this, and lets him go round in clothes that ain't fitten for a hog."	"twain"
"Well, then, says I, what's the use you learning to do right when it's troublesome to do right and ain't no trouble to do wrong, and the wages is just the same?"	"twain"
"We reckoned we was all going to die, but didn't."	"twain"
"She was tore up a good dealone en' of her was; but dey warn't no great harm done, on'y our traps was mos' all los'."	"twain"
"In the evenin''bout an hour er two before sundown."	"twain"
"And so it makes it so rotten difficult to get up a difficult plan."	"twain"
"She says, 'Tell them to give Uncle Harvey and William my love and a kiss, and say I've run over the river to see Mr.'Mr.what is the name of that rich family your uncle Peter used to think so much of?I mean the one that Why, you must mean the Apthorps, ain't it?"	"twain"
"I wisht I never die if I done it, duke, and that's honest."	"twain"
"Jim liked that notion; but he said I must go in the dark and look sharp."	"twain"
"I never waited for to look further, but uncocked my gun and went sneaking back on my tiptoes as fast as ever I could."	"twain"
"Says I to myself, I can explain better how we come to not be in that room this morning if I go out to one side and study over it a little."	"twain"
"No, your majestywhich was the way I always called him when nobody but our gang warn't around."	"twain"
"For if it hadn't been for that they'd a jailed us till them Englishmen's baggage comeand thenthe penitentiary, you bet!"	"twain"
"So there's a reward out for himthree hundred dollars."	"twain"
"The widow put in a good word for me, but that warn't going to keep off the bad luck, I knowed that well enough."	"twain"
"I didn't see no di'monds, and I told Tom Sawyer so."	"twain"
"Tom says: Well, I tell you what I think."	"twain"
"Well, after a long time I heard the clock away off in the town go boomboomboomtwelve licks; and all still againstiller than ever."	"twain"
"Now I thought of something else."	"twain"
"I see the coffin lid was the way it was before, but I dasn't go to look in under it, with folks around."	"twain"
"She told about me and Tom Sawyer finding the six thousand dollars (only she got it ten) and all about pap and what a hard lot he was, and what a hard lot I was, and at last she got down to where I was murdered."	"twain"
"Each person had their own nigger to wait on themBuck too."	"twain"
"The old man made me go to the skiff and fetch the things he had got."	"twain"
"So I got a piece of paper and a pencil, all glad and excited, and set down and wrote: Miss Watson, your runaway nigger Jim is down here two mile below Pikesville, and Mr. Phelps has got him and he will give him up for the reward if you send."	"twain"
"Often they do that and try to see how close they can come without touching; sometimes the wheel bites off a sweep, and then the pilot sticks his head out and laughs, and thinks he's mighty smart."	"twain"
"I'll play a joke on him."	"twain"
"Well, then, that's all right."	"twain"
"Here a poor prisoner, forsook by the world and friends, fretted his sorrowful life."	"twain"
"Well, then, how'd you come to be up at the Pint in the mornin'in a canoe?"	"twain"
"So the very next morning at the streak of dawn we got another letter ready, and was wondering what we better do with it, because we heard them say at supper they was going to have a nigger on watch at both doors all night."	"twain"
"What's the matter with you, Jim?"	"twain"
"Well, all right, Tom, fix it your own way; but if you'll take my advice, you'll let me borrow a sheet off of the clothesline."	"twain"
"But he studied it over, and then said Jim would have to worry along the best he could with an onion."	"twain"
"Well, I let go all holts then, like I was shot."	"twain"
"I found Jim had been trying to get him to talk French, so he could hear what it was like; but he said he had been in this country so long, and had so much trouble, he'd forgot it."	"twain"
"Then the others softened up a little, too, and I was mighty thankful to that old doctor for doing Jim that good turn; and I was glad it was according to my judgment of him, too; because I thought he had a good heart in him and was a good man the first time I see him."	"twain"
"WE judged that three nights more would fetch us to Cairo, at the bottom of Illinois, where the Ohio River comes in, and that was what we was after."	"twain"
"Look at that-air grindstone, s'I; want to tell me't any cretur 't's in his right mind 's a goin' to scrabble all them crazy things onto a grindstone, s'I?"	"twain"
"Then he drooped down and glided along the wall again to his place."	"twain"
"And you can't get away with that tooth without fetching the whole harrow along, can you?"	"twain"
"Then we started for the house, and I went in the back dooryou only have to pull a buckskin latch-string, they don't fasten the doorsbut that warn't romantical enough for Tom Sawyer; no way would do him but he must climb up the lightning-rod."	"twain"
"Den I gin 'm ten cents apiece, en dey 'uz mighty well satisfied, en wisht some mo' raf's 'ud come along en make 'm rich agin."	"twain"
"All animals like musicin a prison they dote on it."	"twain"
"spos'n it takes him three or four days?"	"twain"
"I asked him what was become of young Harney and Miss Sophia."	"twain"
"Well, nobody come after me, and it ain't right I'm always kept down; I don't get no show."	"twain"
"Just set still and take it like a man."	"twain"
"And the boy being in a kind of a flighty sleep, too, we muffled the oars and hitched the raft on, and towed her over very nice and quiet, and the nigger never made the least row nor said a word from the start."	"twain"
"says the old gentleman."	"twain"
"Tom thought a minute or two, and says: It's a good idea."	"twain"
"Then the king says, I knowed it; I reckon that 'll convince anybody the way he feels about it."	"twain"
"But if we find their boat we can put all of 'em in a bad fixfor the sheriff 'll get 'em."	"twain"
"He said so his own self afterwards."	"twain"
"This is what she wrote about a boy by the name of Stephen Dowling Bots that fell down a well and was drownded: ODE TO STEPHEN DOWLING BOTS, DEC'D And did young Stephen sicken,    And did young Stephen die?"	"twain"
"Then he says: Who dah?"	"twain"
"The doctor he led me along by the hand, and was plenty kind enough, but he never let go my hand."	"twain"
"So me and the duke went up to the village, and hunted around there for the king, and by and by we found him in the back room of a little low doggery, very tight, and a lot of loafers bullyragging him for sport, and he a-cussing and a-threatening with all his might, and so tight he couldn't walk, and couldn't do nothing to them."	"twain"
"I didn't have to be ordered twice to go and take a steamboat ride."	"twain"
"When we got home the house was all dark and still; so we went on down to the hut by the ash-hopper for to examine it."	"twain"
"By and by he says: Starchy clothesvery."	"twain"
"I reached for some of it as quick as I could to throw over my left shoulder and keep off the bad luck, but Miss Watson was in ahead of me, and crossed me off."	"twain"
"SO I started for town in the wagon, and when I was half-way I see a wagon coming, and sure enough it was Tom Sawyer, and I stopped and waited till he come along."	"twain"
"Watchman your grandmother, I says; there ain't nothing to watch but the texas and the pilot-house; and do you reckon anybody's going to resk his life for a texas and a pilot-house such a night as this, when it's likely to break up and wash off down the river any minute?"	"twain"
"He tore it up, and says: I'll give you something betterI'll give you a cowhide."	"twain"
"I reckoned they'd turn pale."	"twain"
"But I reckon it was more than a cat-nap, for when I waked up the stars was shining bright, the fog was all gone, and I was spinning down a big bend stern first."	"twain"
"So then we went away and went to the rubbage-pile in the back yard, where they keep the old boots, and rags, and pieces of bottles, and wore-out tin things, and all such truck, and scratched around and found an old tin washpan, and stopped up the holes as well as we could, to bake the pie in, and took it down cellar and stole it full of flour and started for breakfast, and found a couple of shingle-nails that Tom said would be handy for a prisoner to scrabble his name and sorrows on the dungeon walls with, and dropped one of them in Aunt Sally's apron-pocket which was hanging on a chair, and t'other we stuck in the band of Uncle Silas's hat, which was on the bureau, because we heard the children say their pa and ma was going to the runaway nigger's house this morning, and then went to breakfast, and Tom dropped the pewter spoon in Uncle Silas's coat-pocket, and Aunt Sally wasn't come yet, so we had to wait a little while."	"twain"
"I didn't wait for no breakfastI warn't hungry."	"twain"
"Want it for Jim to keep a journal on."	"twain"
"A body can't hardly believe it, but he didn't."	"twain"
"Everybody that could get a chance at him tried their best to coax him off of his horse so they could lock him up and get him sober; but it warn't no useup the street he would tear again, and give Sherburn another cussing."	"twain"
"That's always your way, Maimalways sailing in to help somebody before they're hurt."	"twain"
"Tom was in high spirits."	"twain"
"Then I says: I mean he goes to our church regular when he's in Sheffield."	"twain"
"So we shortened up one of the calico gowns, and I turned up my trouser-legs to my knees and got into it."	"twain"
"Them's the very words I said; they all heard me; and the country may rot for all meI'll never vote agin as long as I live."	"twain"
"Jim said if the two big rivers joined together there, that would show."	"twain"
"I ain't going to hurt you, and I ain't going to tell on you, nuther."	"twain"
"I never see such a woman."	"twain"
"They peddle out such a fish as that by the pound in the market-house there; everybody buys some of him; his meat's as white as snow and makes a good fry."	"twain"
"I tried for a second or two to brace up and out with it, but I warn't man enoughhadn't the spunk of a rabbit."	"twain"
"That made me pretty uneasy again, but only for a minute; I reckoned I wouldn't stay on hand till he got that chance."	"twain"
"I never seen anybody but lied one time or another, without it was Aunt Polly, or the widow, or maybe Mary."	"twain"
"Well, then, what'll we make him the ink out of?"	"twain"
"I wuz de on'y one dat had much."	"twain"
"You could easy see that something had been dragged over the ground."	"twain"
"Well, then, the old thing commenced again."	"twain"
"And told him how to keep a journal on the shirt with his blood, and all that."	"twain"
"I knowed he would see I was wet, and then he would be asking questions."	"twain"
"I bet I was glad to see him."	"twain"
"Answer, or I'll shoot!"	"twain"
"So I went to studying it out."	"twain"
"She pulled me in and shut the door; then she looked in the Testament till she found the paper, and as soon as she read it she looked glad; and before a body could think she grabbed me and give me a squeeze, and said I was the best boy in the world, and not to tell anybody."	"twain"
"I never see the beat of it in all my born days."	"twain"
"This done him heaps of good, and so he got cheerful and comfortable."	"twain"
"SHOVE!and don't you lose a minute."	"twain"
"And when she come she was hot and red and cross, and couldn't hardly wait for the blessing; and then she went to sluicing out coffee with one hand and cracking the handiest child's head with her thimble with the other, and says: I've hunted high and I've hunted low, and it does beat all what has become of your other shirt."	"twain"
"Why, what in the worldplague take the things, I'll count 'm again."	"twain"
"Miss Watson would say, Don't put your feet up there, Huckleberry; and Don't scrunch up like that, Huckleberryset up straight; and pretty soon she would say, Don't gap and stretch like that, Huckleberrywhy don't you try to behave?"	"twain"
"He was just suitedthis kind of thing was right in his line."	"twain"
"So he took him to his own house, and dressed him up clean and nice, and had him to breakfast and dinner and supper with the family, and was just old pie to him, so to speak."	"twain"
"Don't you try to land by yourself, or you'll smash everything to pieces."	"twain"
"I 'uz hungry, but I warn't afeard; bekase I knowed ole missus en de widder wuz goin' to start to de camp-meet'n' right arter breakfas' en be gone all day, en dey knows I goes off wid de cattle 'bout daylight, so dey wouldn' 'spec to see me roun' de place, en so dey wouldn' miss me tell arter dark in de evenin'."	"twain"
"But lawsy, how you did fool 'em, Huck!"	"twain"
"Then he give us a piece of his mind, but it didn't do no good."	"twain"
"where's it gone, Lize?"	"twain"
"I wanted to go and look at a place right about the middle of the island that I'd found when I was exploring; so we started and soon got to it, because the island was only three miles long and a quarter of a mile wide."	"twain"
"Two years ago last Christmas your uncle Silas was coming up from Newrleans on the old Lally Rook, and she blowed out a cylinder-head and crippled a man."	"twain"
"We hustled it on to the raft in a pile, and I told Jim to float along down, and show a light when he judged he had gone about two mile, and keep it burning till I come; then I manned my oars and shoved for the light."	"twain"
"So was her sister, Miss Sophia, but it was a different kind."	"twain"
"It warn't funny to me, though; I was all of a tremble to see his danger."	"twain"
"Please, Mars Tomdoan' talk so!"	"twain"
"She was leaning over, with part of her upper deck above water, and you could see every little chimbly-guy clean and clear, and a chair by the big bell, with an old slouch hat hanging on the back of it, when the flashes come."	"twain"
"Then he turns around, blubbering, and makes a lot of idiotic signs to the duke on his hands, and blamed if he didn't drop a carpet-bag and bust out a-crying."	"twain"
"Well, but he was the wisest man, anyway; because the widow she told me so, her own self."	"twain"
"It was in there when you was crying there, away in the night."	"twain"
"Git aboard, says the king."	"twain"
"But you is all right."	"twain"
"He said it would fetch bad luck; and besides, he said, he might come and ha'nt us; he said a man that warn't buried was more likely to go a-ha'nting around than one that was planted and comfortable."	"twain"
"It was outrageous, and I knowed I ought to just up and tell him so; and so be his true friend, and let him quit the thing right where he was and save himself."	"twain"
"My plan is this, I says."	"twain"
"I wanted to get aboard of her and slink around a little, and see what there was there."	"twain"
"You had better let me invest it along with your six thousand, because if you take it you'll spend it."	"twain"
"Jim said if we had the canoe hid in a good place, and had all the traps in the cavern, we could rush there if anybody was to come to the island, and they would never find us without dogs."	"twain"
"So I told you I was expecting trouble myself, and would scatter out with you."	"twain"
"When they got there they swarmed into the graveyard and washed over it like an overflow."	"twain"
"He had the whitest shirt on you ever see, too, and the shiniest hat; and there ain't a man in that town that's got as fine clothes as what he had; and he had a gold watch and chain, and a silver-headed canethe awfulest old gray-headed nabob in the State."	"twain"
"I reck'n I could eat a hoss."	"twain"
"Ef we hadn' dive' so deep en swum so fur under water, en de night hadn' ben so dark, en we warn't so sk'yerd, en ben sich punkin-heads, as de sayin' is, we'd a seed de raf'."	"twain"
"The stars were shining, and the leaves rustled in the woods ever so mournful; and I heard an owl, away off, who-whooing about somebody that was dead, and a whippowill and a dog crying about somebody that was going to die; and the wind was trying to whisper something to me, and I couldn't make out what it was, and so it made the cold shivers run over me."	"twain"
"He said she would slap down a line, and if she couldn't find anything to rhyme with it would just scratch it out and slap down another one, and go ahead."	"twain"
"Says I, kind of timid-like: Is something gone wrong?"	"twain"
"Well, when Tom and me got to the edge of the hilltop we looked away down into the village and could see three or four lights twinkling, where there was sick folks, maybe; and the stars over us was sparkling ever so fine; and down by the village was the river, a whole mile broad, and awful still and grand."	"twain"
"There warn't nobody around but the family and the widow Bartley and our tribe."	"twain"
"When it was dark I set by my camp fire smoking, and feeling pretty well satisfied; but by and by it got sort of lonesome, and so I went and set on the bank and listened to the current swashing along, and counted the stars and drift logs and rafts that come down, and then went to bed; there ain't no better way to put in time when you are lonesome; you can't stay so, you soon get over it."	"twain"
"There ain't even a dog to give a sleeping-mixture to."	"twain"
"I says: Miss Mary Jane, I'll tell you what we'll do, and you won't have to stay at Mr. Lothrop's so long, nuther."	"twain"
"We seen a light now away down to the right, on shore."	"twain"
"So he done it; and it satisfied him; and he was that glad to see me again he didn't know what to do."	"twain"
"Do you mean to say Gentlemen, says the young man, very solemn, I will reveal it to you, for I feel I may have confidence in you."	"twain"
"Well, says I, I think they are a pack of flat-heads for not keeping the palace themselves 'stead of fooling them away like that."	"twain"
"Pa's luck didn't hold out; a steamboat run over the forrard corner of the raft one night, and we all went overboard and dove under the wheel; Jim and me come up all right, but pa was drunk, and Ike was only four years old, so they never come up no more."	"twain"
"Maybe Bill he gives him a chaw; maybe he lies and says he ain't got none."	"twain"
"She wuz on de clo'sline yistiddy, but she done gone:  she ain' dah no mo' now."	"twain"
"The old gentleman says: There; I reckon it's all right."	"twain"
"The old gentleman stared, and says: Why, who's that?"	"twain"
"By and by Jim says: But looky here, Huck, who wuz it dat 'uz killed in dat shanty ef it warn't you?"	"twain"
"You do that when you've lost a horseshoe that you've found, instead of nailing it up over the door, but I hadn't ever heard anybody say it was any way to keep off bad luck when you'd killed a spider."	"twain"
"The women had on sun-bonnets; and some had linsey-woolsey frocks, some gingham ones, and a few of the young ones had on calico."	"twain"
"I had wore the ground a good deal crawling out of the hole and dragging out so many things."	"twain"
"Some thought it would be good to kill the families of boys that told the secrets."	"twain"
"Then he took his place over against the wall."	"twain"
"A body can set down and read it off like coarse print."	"twain"
"We went about two hundred yards, and then the cave opened up."	"twain"
"The king whirls on me and rips out: None o' your business!"	"twain"
"When you come down to the cold facts, we simply got to let on that a lantern's resky."	"twain"
"Then he laid stiller, and didn't make a sound."	"twain"
"He was barefooted, and the snake bit him right on the heel."	"twain"
"Why, you can get him so, in a little while, that he'll love you; and sleep with you; and won't stay away from you a minute; and will let you wrap him round your neck and put his head in your mouth."	"twain"
"The crowd closed up around them, and shouldered and jammed one another, with their necks stretched, trying to see, and people on the inside trying to shove them back and shouting, Back, back!"	"twain"
"Then the duke says: You are what?"	"twain"
"I went up to my room with a piece of candle, and put it on the table."	"twain"
"(I reckoned I wouldn't say nothing about the dollar I got from the judge.)"	"twain"
"You hold stillI'll go en see."	"twain"
"And so he warmed up and went warbling and warbling right along till he was actuly beginning to believe what he was saying himself; but pretty soon the new gentleman broke in, and says: I've thought of something."	"twain"
"Yes, says somebody, me and Ab Turner done it."	"twain"
"The judge he felt kind of sore."	"twain"
"I set down again, a-shaking all over, and got out my pipe for a smoke; for the house was all as still as death now, and so the widow wouldn't know."	"twain"
"Step forward, George Jackson."	"twain"
"I did wish Tom Sawyer was there; I knowed he would take an interest in this kind of business, and throw in the fancy touches."	"twain"
"Then he turns and goes in."	"twain"
"Oh, he's sly, I reckon."	"twain"
"Now listen to me; turn this pitiful rascal outI beg you to do it."	"twain"
"We fixed up a short forked stick to hang the old lantern on, because we must always light the lantern whenever we see a steamboat coming down-stream, to keep from getting run over; but we wouldn't have to light it for up-stream boats unless we see we was in what they call a crossing; for the river was pretty high yet, very low banks being still a little under water; so up-bound boats didn't always run the channel, but hunted easy water."	"twain"
"I owns mysef, en I's wuth eight hund'd dollars."	"twain"
"Why, he didn't only look like he was dead, he looked considerable more than that."	"twain"
"What!to preach before a king?"	"twain"
"It's the most dazzling idea 'at ever a man struck."	"twain"
"Why, look at one of them prisoners in the bottom dungeon of the Castle Deef, in the harbor of Marseilles, that dug himself out that way; how long was he at it, you reckon?"	"twain"
"It's lovely to live on a raft."	"twain"
"As a general thing it makes a body wish he was dead, too, and done with it all."	"twain"
"I out with a Yes'm before I thought."	"twain"
"Well, I reckon you'd think so if you'd a been in this house for a while back."	"twain"
"I done it, and he eat it and said it would help cure him."	"twain"
"He says: Doan' le's talk about it, Huck."	"twain"
"What do we want of a saw?"	"twain"
"It was an awful sight of money when it was piled up."	"twain"
"We got five catfish off the lines and went home."	"twain"
"Oh, do shet up!s'pose the rats took the sheet?"	"twain"
"You slide in, in the middle of the night, and hook that yaller girl's frock."	"twain"
"Jim said nobody would know me, even in the daytime, hardly."	"twain"
"It was a real bully circus."	"twain"
"Well, then, what possessed you to go down there this time of night?"	"twain"
"I done so, and then we all three started on again."	"twain"
"And that gave him another idea, and he says: Borrow a shirt, too."	"twain"
"We skipped out and looked; but it warn't nothing but the flutter of a steamboat's wheel away down, coming around the point; so we come back."	"twain"
"It was a dirty, littered-up place, and had ink marks, and handbills with pictures of horses and runaway niggers on them, all over the walls."	"twain"
"She smiled and reddened up very sweet, and I says, If you don't mind it, I'll shut the doorand bolt it."	"twain"
"But, Huck, dese kings o' ourn is reglar rapscallions; dat's jist what dey is; dey's reglar rapscallions."	"twain"
"I'll lay for you, my smarty; and if I catch you about that school I'll tan you good."	"twain"
"The houses had little gardens around them, but they didn't seem to raise hardly anything in them but jimpson weeds, and sunflowers, and ash-piles, and old curled-up boots and shoes, and pieces of bottles, and rags, and played-out tin-ware."	"twain"
"I fetched out the gun, and now I was done."	"twain"
"He said they'd got across the river and was safe."	"twain"
"Rot him, I forgot he was a preacher."	"twain"
"They've got a good thing here, and they ain't a-going to leave till they've played this family and this town for all they're worth, so I'll find a chance time enough."	"twain"
"When I was fifty yards off, Jim says: Dah you goes, de ole true Huck; de on'y white genlman dat ever kep' his promise to ole Jim."	"twain"
"Well, they could be worse off."	"twain"
"All right, doctor, says the king, kinder mocking him; we'll try and get 'em to send for you; which made them all laugh, and they said it was a prime good hit."	"twain"
"So don't make no more fuss about it."	"twain"
"She run on, and never noticed I had put in at all: The nigger run off the very night Huck Finn was killed."	"twain"
"That's the correct idea."	"twain"
"So, drat him, we went along, but I didn't like it much."	"twain"
"They dressed in white linen from head to foot, like the old gentleman, and wore broad Panama hats."	"twain"
"I doan know but maybe I could, Mars Tom; but it's tolable dark in heah, en I ain' got no use f'r no flower, nohow, en she'd be a pow'ful sight o' trouble."	"twain"
"Misfortune has broken my once haughty spirit; I yield, I submit; 'tis my fate."	"twain"
"It was the splendidest sight that ever was when they all come riding in, two and two, a gentleman and lady, side by side, the men just in their drawers and undershirts, and no shoes nor stirrups, and resting their hands on their thighs easy and comfortablethere must a been twenty of themand every lady with a lovely complexion, and perfectly beautiful, and looking just like a gang of real sure-enough queens, and dressed in clothes that cost millions of dollars, and just littered with diamonds."	"twain"
"They'll soon get tired of that, and won't bother no more about me."	"twain"
"And the shirt ain't all that's gone, nuther."	"twain"
"She never done it; jis' stood dah, kiner smilin' up at me."	"twain"
"I had to skip around a bit, and jump up and crack my heels a few timesI couldn't help it; but about the third crack I noticed a sound that I knowed mighty well, and held my breath and listened and waited; and sure enough, when the next flash busted out over the water, here they come!and just a-laying to their oars and making their skiff hum!"	"twain"
"she says; I'm ready to go distracted!"	"twain"
"I felt so ornery and low down and mean that I says to myself, my mind's made up; I'll hive that money for them or bust."	"twain"
"Well, then they sailed in on the general investigation, and there we had it, up and down, hour in, hour out, and nobody never said a word about supper, nor ever seemed to think about itand so they kept it up, and kept it up; and it was the worst mixed-up thing you ever see."	"twain"
"Why, live stockcattle, you know."	"twain"
"I come heah de night arter you's killed."	"twain"
"I know it's sosomething tells me so."	"twain"
"I did wish Aunt Sally would come, and get done with me, and lick me, if she wanted to, and let me get away and tell Tom how we'd overdone this thing, and what a thundering hornet's-nest we'd got ourselves into, so we could stop fooling around straight off, and clear out with Jim before these rips got out of patience and come for us."	"twain"
"Jim said he reckoned the people in that house stole the coat, because if they'd a knowed the money was there they wouldn't a left it."	"twain"
"Oh, Huck, I bust out a-cryin' en grab her up in my arms, en say, 'Oh, de po' little thing!"	"twain"
"I see it warn't no use wasting wordsyou can't learn a nigger to argue."	"twain"
"Why, de fog!de fog dat's been aroun' all night."	"twain"
"to be left alone in the cold world so."	"twain"
"Why, Huck, if it was to do over again, I bet I could fetch two hundred!"	"twain"
"That doctor lays on my mind."	"twain"
"Here, I'll put a twenty-dollar gold piece on this board, and you get it when it floats by."	"twain"
"I went to the cavern to get some, and found a rattlesnake in there."	"twain"
"stealing cattle and such things ain't robbery; it's burglary, says Tom Sawyer."	"twain"
"Cuss you, I can see now why you was so anxious to make up the deffisityou wanted to get what money I'd got out of the Nonesuch and one thing or another, and scoop it all!"	"twain"
"and I couldn't ever understand before, until that minute and that talk, how he could help a body set a nigger free with his bringing-up."	"twain"
